people,images,n_neighbors,duration
2,9,7,8.722164637999867
2,9,8,8.728446545999759
2,9,9,8.785590163000052
2,10,1,9.708353777999946
2,10,2,9.832624362999923
2,10,3,9.765157312000156
2,10,4,9.77649041900031
2,10,5,9.777582614000039
2,10,6,9.773043424999742
2,10,7,9.742218324000078
2,10,8,9.763326194000001
2,10,9,9.9747385390001
2,11,1,11.009949674999916
2,11,2,10.587158136999733
2,11,3,12.348722797999926
2,11,4,11.119766516999789
2,11,5,10.593852074000097
2,11,6,10.616123210999831
2,11,7,10.682462605999717
2,11,8,10.676921858999776
2,11,9,10.755330973999662
2,12,1,11.615471839999827
2,12,2,11.60060426300015
2,12,3,11.610443605
2,12,4,23.072967895999682
2,12,5,18.61464067099996
2,12,6,14.134115605000261
2,12,7,16.728775010999925
2,12,8,13.203975392999837
2,12,9,11.878485557999738
2,13,1,12.855553402000169
2,13,2,12.748373884000102
2,13,3,12.744670108999799
2,13,4,22.24462234900011
2,13,5,12.785502844999883
2,13,6,13.948182305000046
2,13,7,13.072792889000084
2,13,8,12.953723965000336
2,13,9,12.872471506999773
2,14,1,15.154006383999786
2,14,2,15.672786295999686
2,14,3,13.830591238000125
2,14,4,13.674774287000218
2,14,5,13.616262540999742
2,14,6,13.589058680000107
2,14,7,13.55120880000004
2,14,8,13.52728022600013
2,14,9,13.52890536599989
2,15,1,15.29656038100029
2,15,2,14.520591274999788
2,15,3,14.50993237900002
2,15,4,14.588104797000142
2,15,5,14.521478347000084
2,15,6,14.567330868999761
2,15,7,14.425127874000282
2,15,8,14.412743976000002
2,15,9,14.50101107799992
3,1,1,1.4812718220000534
3,1,2,1.4796243929999946
3,1,3,1.4627230910000435
3,1,4,1.4875144460002048
3,1,5,1.4587679930000377
3,1,6,1.4733658840000317
3,1,7,1.4549378450001313
3,1,8,1.4854230109999662
3,1,9,1.4739572970001973
3,2,1,3.4382635949996256
3,2,2,3.0891752630000155
3,2,3,3.722442338000292
3,2,4,2.954510437999943
3,2,5,2.937568666000061
3,2,6,2.9337866409996423
3,2,7,2.9184026670000094
3,2,8,2.9385872600000766
3,2,9,2.9344755039996926
3,3,1,4.403691792000245
3,3,2,4.423575475999769
3,3,3,4.413458442999854
3,3,4,4.452908691000175
3,3,5,4.444133833000251
3,3,6,4.455701310999757
3,3,7,4.4244077729999844
3,3,8,4.469863660000101
3,3,9,4.412749601000087
3,4,1,5.894041472000026
3,4,2,6.324789960000089
3,4,3,5.859267092999744
3,4,4,5.829053909999857
3,4,5,5.839445304000037
3,4,6,5.876462663999973
3,4,7,5.842337429000054
3,4,8,5.905473855000309
3,4,9,5.828714867000144
3,5,1,7.359687815000143
3,5,2,7.319009496000035
3,5,3,7.296689651000179
3,5,4,7.296016485000109
3,5,5,7.307052913999996
3,5,6,7.321756550999908
3,5,7,7.342324192999968
3,5,8,7.2978263730001345
3,5,9,7.342239272999905
3,6,1,8.772794247000093
3,6,2,8.77489900699993
3,6,3,10.09003301499979
3,6,4,14.138029757999902
3,6,5,11.91226193600005
3,6,6,14.454271065000285
3,6,7,14.630133746999945
3,6,8,11.312159033999706
3,6,9,12.242329101999985
3,7,1,10.497479962999932
3,7,2,10.525468535000073
3,7,3,10.351766132000193
3,7,4,10.346738471999743
3,7,5,10.318484758000068
3,7,6,10.180488516999958
3,7,7,10.355056095999771
3,7,8,10.251583710999967
3,7,9,10.216845712999657
3,8,1,11.913482944999942
3,8,2,11.821036467999875
3,8,3,11.631788206999772
3,8,4,11.696649200000138
3,8,5,11.581687237000097
3,8,6,11.579594812000323
3,8,7,11.59452593800006
3,8,8,11.554672980000305
3,8,9,11.568371294999906
3,9,1,13.017832442999861
3,9,2,13.085752263999893
3,9,3,13.219248511999922
3,9,4,13.191991066000355
3,9,5,13.046656219999932
3,9,6,13.076580639999975
3,9,7,13.073115144999974
3,9,8,13.160207329000059
3,9,9,13.255753972000093
3,10,1,14.501078768000298
3,10,2,14.580554598000163
3,10,3,14.688489059999938
3,10,4,14.683642500000133
3,10,5,14.639750679999906
3,10,6,14.495393970999885
3,10,7,14.68120325200016
3,10,8,16.628056602000015
3,10,9,22.471681781999905
3,11,1,17.006171167000048
3,11,2,21.05895230899978
3,11,3,27.419909523000115
3,11,4,22.341522224000073
3,11,5,29.030216193999877
3,11,6,16.37032357599992
3,11,7,16.324392261999947
3,11,8,16.122935868999775
3,11,9,16.5780770260003
3,12,1,17.452921443999912
3,12,2,23.963967456999853
3,12,3,17.631785434999983
3,12,4,18.273260987999947
3,12,5,17.6640653190002
3,12,6,17.48764725000001
3,12,7,17.388859670999864
3,12,8,17.501577501000156
3,12,9,17.354140045999884
3,13,1,18.79981133299998
3,13,2,18.847642113999882
3,13,3,18.744348862999686
3,13,4,18.767685981999875
3,13,5,18.807807978000255
3,13,6,18.994642998000018
3,13,7,19.059667945
3,13,8,18.91464445800011
3,13,9,18.930633926000155
3,14,1,20.366271077999954
3,14,2,20.470873969000422
3,14,3,20.455576398999256
3,14,4,20.620840855000097
3,14,5,20.52732833800019
3,14,6,29.776634331999958
3,14,7,30.39053005400001
3,14,8,25.572073239999554
3,14,9,28.464843537999514
3,15,1,25.303171235000264
3,15,2,22.010615080000207
3,15,3,21.895640373000788
3,15,4,24.178283541000383
3,15,5,36.59141823200025
3,15,6,29.875138200000038
3,15,7,35.05340184800025
3,15,8,26.15657292600008
3,15,9,35.468300418999206
4,1,1,4.284549982000499
4,1,2,2.208400184000311
4,1,3,2.1787684279997848
4,1,4,3.222162821999518
4,1,5,3.657645830000547
4,1,6,2.7033365409997714
4,1,7,2.279351860999668
4,1,8,2.240408884000317
4,1,9,3.8453213299999334
4,2,1,8.092902168000364
4,2,2,6.814941782999995
4,2,3,5.554857661999449
4,2,4,5.1743736519993035
4,2,5,7.486061466000137
4,2,6,7.201069920000009
4,2,7,4.423150441999496
4,2,8,5.073073671999737
4,2,9,4.597509502000321
4,3,1,6.628685900000164
4,3,2,6.698150173000613
4,3,3,6.577883938999548
4,3,4,6.620872372999656
4,3,5,6.4133189989997845
4,3,6,6.644300846000078
4,3,7,6.362518495000586
4,3,8,6.471758628999851
4,3,9,6.357618931000616
4,4,1,8.614064016999691
4,4,2,8.380653718999383
4,4,3,8.603029585000513
4,4,4,8.485750765000375
4,4,5,8.433732632000101
4,4,6,8.551895051999963
4,4,7,8.423691404000238
4,4,8,8.465560575000382
4,4,9,8.448567911999817
4,5,1,10.485290106999855
4,5,2,10.642490578999968
4,5,3,10.665129216999958
4,5,4,10.588835925999774
4,5,5,10.438659252000434
4,5,6,10.75445189399943
4,5,7,10.562324681999598
4,5,8,10.678064352000547
4,5,9,10.660502305000591
4,6,1,12.656703331999779
4,6,2,13.827123690999542
4,6,3,12.821351925999807
4,6,4,12.560328610999932
4,6,5,12.939563362000627
4,6,6,12.700589557999592
4,6,7,14.123345328000141
4,6,8,12.907267469000544
4,6,9,13.573065716000201
4,7,1,21.879827582999496
4,7,2,21.887795916999494
4,7,3,17.47429362100047
4,7,4,14.737628386000324
4,7,5,14.754755060999742
4,7,6,14.635706873000345
4,7,7,15.11834112500037
4,7,8,14.657427836999886
4,7,9,14.702183739999782
4,8,1,16.64402149899979
4,8,2,16.948069784000836
4,8,3,17.154594456000268
4,8,4,16.671293497999613
4,8,5,16.754946354999447
4,8,6,16.524986061999698
4,8,7,16.681381758000498
4,8,8,16.56536594499994
4,8,9,16.518374136000602
4,9,1,18.601200769999195
4,9,2,18.597859640000024
4,9,3,18.77564010900005
4,9,4,18.550375653999254
4,9,5,18.752872254999602
4,9,6,18.950036774999717
4,9,7,18.865585479999936
4,9,8,18.830957367000337
4,9,9,18.841255048000676
4,10,1,20.885227135000605
4,10,2,20.75984912900003
4,10,3,20.939196297999842
4,10,4,20.64692817699961
4,10,5,20.80249176399957
4,10,6,20.784130578999793
4,10,7,20.788565908000237
4,10,8,21.32564702899981
4,10,9,20.689373304000583
4,11,1,22.780344230999617
4,11,2,22.961779886999466
4,11,3,22.685721906000254
4,11,4,23.063297497999883
4,11,5,23.139214633999472
4,11,6,23.059709832000408
4,11,7,22.902889277000213
4,11,8,22.78321072200015
4,11,9,22.894516312999258
4,12,1,24.922898044999783
4,12,2,24.948885887999495
4,12,3,25.013375573999838
4,12,4,24.984791261999817
4,12,5,25.038829608000015
4,12,6,24.95883249200051
4,12,7,24.966814415000044
4,12,8,24.953908420000516
4,12,9,25.157304999999724
4,13,1,27.046275847000288
4,13,2,27.00739467600033
4,13,3,27.14006688200061
4,13,4,27.05575077499998
4,13,5,26.956203222000113
4,13,6,27.021569784999883
4,13,7,27.180684923000626
4,13,8,27.059712741999647
4,13,9,26.95419131499966
4,14,1,28.778129293000347
4,14,2,28.95388514000024
4,14,3,28.97326341600001
4,14,4,29.01211265799975
4,14,5,28.917076830000042
4,14,6,29.252940026000033
4,14,7,29.10081143699972
4,14,8,29.135446372999468
4,14,9,28.99394928700076
4,15,1,31.13074918700022
4,15,2,31.375081634999333
4,15,3,31.448779218999334
4,15,4,32.34378021700013
4,15,5,31.441016040999784
4,15,6,39.457043877000615
4,15,7,41.97252717399988
4,15,8,33.51044364399968
4,15,9,52.88207452400002
5,1,1,2.5360581200002343
5,1,2,2.6554476199999044
5,1,3,2.4975831420006216
5,1,4,2.63197896300062
5,1,5,2.50388205299987
5,1,6,2.4984111870007837
5,1,7,2.503530934000082
5,1,8,2.4903403440002876
5,1,9,4.133986029999505
5,2,1,10.573866119999366
5,2,2,6.2320193259993175
5,2,3,8.196683328999825
5,2,4,6.763401833999524
5,2,5,6.143713858999945
5,2,6,5.356820300000436
5,2,7,5.2775785990006625
5,2,8,5.359029203999853
5,2,9,5.376760951000506
5,3,1,7.661092074999942
5,3,2,10.716431494999597
5,3,3,10.228158979
5,3,4,10.622951147999629
5,3,5,7.4817193280005085
5,3,6,9.542128203000175
5,3,7,15.186504315000093
5,3,8,15.19503130999965
5,3,9,12.916483582000183
5,4,1,12.899918945000536
5,4,2,18.61028521099979
5,4,3,13.161633595999774
5,4,4,11.501542101999803
5,4,5,9.941909696000039
5,4,6,9.825112105999324
5,4,7,16.886278519999905
5,4,8,11.7617969490002
5,4,9,13.767542130000038
5,5,1,20.725960705000034
5,5,2,14.42162519500016
5,5,3,13.4835303079999
5,5,4,14.009647476999817
5,5,5,13.414968011999918
5,5,6,13.308595685999535
5,5,7,13.61226181100028
5,5,8,25.067414037999697
5,5,9,16.528634159999456
5,6,1,20.49390769100046
5,6,2,20.76866661999975
5,6,3,16.87602544099991
5,6,4,15.861215068000092
5,6,5,15.80191583099986
5,6,6,23.167337883999608
5,6,7,20.693429180999374
5,6,8,21.105000937000113
5,6,9,20.70897674200023
5,7,1,27.865897224000037
5,7,2,30.280264423000517
5,7,3,30.845198696999432
5,7,4,27.416315606000353
